StockCode,Elasticity,ElasticityPval,ElasticityCILower,ElasticityCIUpper,ModelFPval,TrainMAE,TestMAE,TrainR2,TestR2,TrainObs,TestObs
17003,-1.7794569022131552,0.03792579318525556,-3.457769511213602,-0.10114429321270868,3.743485457973025e-18,70.59950824837438,34.03290733307758,0.7446736688996456,0.5547367007135146,130,15
21137,-2.6330128793142347,0.09138247226714342,-5.696091315761017,0.430065557132548,1.3578894481323494e-11,30.29100411946821,1485.1632478212737,0.5664074519188249,0.6063037408103926,154,14
21212,-0.8174599104581229,0.16209842721816492,-1.966118858557079,0.33119903764083325,2.410091845367738e-10,47.71532861618547,38.19616898717838,0.7138504154144596,0.24557276030919872,234,53
21977,-0.5203608838404605,0.40247336219165575,-1.7436495921276154,0.7029278244466943,5.84062180476997e-12,103.29697247590843,19.73968009919587,0.5306622135321432,0.20418395661273403,217,49
22086,-3.2406103808108346,6.232105293089422e-05,-4.7839808055050845,-1.6972399561165852,1.440259313513703e-26,45.898156128547384,80.2037376742617,0.700512476557148,0.6177909244928519,142,12
22114,-0.5733358108072246,0.5037813030928159,-2.274022750378993,1.1273511287645437,1.751233363592025e-18,16.226312684382975,30.74403440427875,0.8056148814117607,0.5998403203899618,98,12
22178,0.4603352731273689,0.44069841999018433,-0.7145478801538054,1.6352184264085432,1.458277287984804e-24,42.364924409565454,69.00682180451533,0.7226046539263407,0.7854028905169571,232,49
22197,-1.568299219259164,0.026807751647232078,-2.954842828159709,-0.18175561035861887,3.049751077798927e-13,113.03051958717977,304.237148327929,0.6606756294584575,0.7247404305592766,258,26
22386,-1.0664577298480162,0.06736556615366468,-2.209844102574968,0.07692864287893553,1.8094228579932424e-21,53.04940238438935,600.4961098924358,0.4618423058913427,0.4278689390719088,228,53
22423,-1.22491189583115,0.12192292399682499,-2.7797351550036673,0.32991136334136706,6.454288490037769e-27,19.497856429930444,18.001984584899493,0.5956292095184398,0.5511529363949426,239,55
22469,-1.2238856939147846,0.11614971063047724,-2.753584978401769,0.3058135905721997,4.0496962472173574e-14,37.89776334780374,53.75930637799979,0.5854135755085339,0.5804964765877236,208,42
22616,-1.950742419576244,5.122062719526509e-05,-2.8769854729183493,-1.0244993662341386,6.534120229112712e-21,58.14706744001626,71.24748678422927,0.6791872139813728,0.6526455825409685,195,33
22910,-1.291036618939692,0.25248761768426947,-3.516731132509971,0.934657894630587,3.2985177641874947e-25,26.569490201622,30.382283307974376,0.4982198341187629,0.7163511910547615,127,12
23084,-2.2107262993602417,0.005526962425559718,-3.7563737516109095,-0.6650788471095739,3.7830133536649156e-24,84.60723291352257,176.3067419597655,0.4865182587994157,0.3763343699134001,119,7
23203,-0.41738820655346087,0.7278238489740231,-2.7858099966370293,1.9510335835301076,1.1511078992167066e-17,54.40277246701106,472.6612275118932,0.4602510204326534,0.7265889621888385,148,28
23284,-1.6848572057102553,0.2617307959597587,-4.648856413931393,1.2791420025108817,1.0080317946519726e-09,22.83324147077991,17.809315317543277,0.6125190887203488,0.03533770040512996,113,24
23298,0.06136164595885671,0.9373591523120068,-1.4833680342469813,1.6060913261646945,1.5656022685736084e-19,13.658948945251161,38.06093699041965,0.7623495277371425,0.8827687923005371,126,52
47566,-1.5710084516308531,0.016603294908290864,-2.853008825903663,-0.28900807735804324,1.2390761373737856e-32,32.08065173709209,17.48105963648106,0.619169575773249,0.7329718213606957,205,78
79321,-0.6032328444612693,0.4098369007373869,-2.0440036676818014,0.8375379787592625,1.964771353314693e-17,30.319924880348644,957.8374859126359,0.4585096163182405,0.8260305542789629,212,26
82484,-1.3373548646983617,0.08248641676981468,-2.8486156158175535,0.17390588642083005,5.403792557681214e-13,20.752041160867755,18.986671610044226,0.7612178703522521,0.38528284376837285,207,40
84077,-2.4795554514069598,0.002236468731042183,-4.0557000416667925,-0.903410861147127,1.4529008111002686e-24,110.51933581380389,105.42547425991287,0.7457653990790195,0.17662319099486778,190,26
84879,-2.286807413207764,0.2757364087857102,-6.4110143652985006,1.837399538882972,3.331070463669173e-14,54.46925635322303,120.01523783446696,0.7423239120419665,0.35953269246035746,256,35
85099B,-2.025717096419335,0.004349076542111301,-3.411124336561677,-0.6403098562769931,4.7193220453214604e-26,124.45875433228768,128.93548861337496,0.3305132169488868,0.5393464348639472,246,47
85099F,-1.2705734323761297,0.059515874977722004,-2.5926713177092875,0.05152445295702823,4.8487190360718076e-18,67.43347728340235,100.20934692885646,0.5149310576539565,0.45186678099989463,203,53
85123A,-0.6803424026560755,0.5129050543452838,-2.7263098268609642,1.365625021548813,1.6017863170764247e-14,73.38752609185283,84.6051115387924,0.66685690374143,0.34610597163743817,245,53
